"Name","Default Price","Duration Min","Category","Branches","Employees","Status"
"تنظيف حواجب بالملقط","SAR125.00","30 Min","خدمات البشرة","1","1","Inactive"
"جسم كامل بدون بكيني wax","SAR650.00","60 Min","خدمات البشرة","1","1","Active"
"جلسة ( شد البشرة)","SAR885.00","60 Min","خدمات البشرة","2","2","Inactive"
"جلسة تنظيف البشرة مع SERA L","SAR805.00","60 Min","خدمات البشرة","2","2","Inactive"
"جلسة تنظيف وعناية للبشرة SERA H","SAR782.00","60 Min","خدمات البشرة","2","2","Inactive"
"جلسة عناية البشرة لمقاومة علامات تقدم السن","SAR860.00","60 Min","خدمات البشرة","2","2","Inactive"
"جلسة نظارة البشرة","SAR825.00","60 Min","خدمات البشرة","2","2","Inactive"
"جلسة نظارة فيتامين سي","SAR550.00","60 Min","خدمات البشرة","2","2","Inactive"
"Glow backفيشل الظهر","SAR560.00","60 Min","خدمات البشرة","2","2","Active"
"رموش دائمة بالحبه","SAR900.00","60 Min","خدمات البشرة","1","1","Inactive"
"منكير اطفال منزلي","SAR104.00","180 Min","خدمات العناية بالأظافر","2","","Inactive"
"علاج إعادة بناء مكثف","SAR517.00","60 Min","خدمات الشعر","2","","Inactive"
"معالج بزيت الأرغان","SAR268.00","60 Min","خدمات الشعر","1","1","Active"
"كنتور للشعر الطويل جدا","SAR890.00","120 Min","خدمات الشعر","2","3","Active"
"صبغة كاملة ML","SAR648.00","75 Min","خدمات الشعر","2","1","Inactive"
"معالج بريمير","SAR360.00","30 Min","خدمات الشعر","2","3","Inactive"
"اومبري للشعر الطويل","SAR647.50","250 Min","خدمات الشعر","2","2","Active"
"اومبري للشعر الطويل جدا","SAR790.00","270 Min","خدمات الشعر","2","2","Active"
"اومبري للشعر الوسط","SAR590.00","150 Min","خدمات الشعر","2","2","Active"
"علاج تنقية وتوازن فروة الرأس والشعر","SAR310.00","60 Min","خدمات الشعر","2","1","Inactive"
"صبغة جذور اينوا","SAR280.00","60 Min","خدمات الشعر","2","2","Inactive"
"مساج سويدي منزلي 60 دقيقه","SAR675.00","60 Min","خدمات المساج","2","11","Active"
"معالج بزيت الأرغان M","SAR210.00","60 Min","خدمات الشعر","1","","Active"
"معالج بزيت الأرغان S","SAR163.00","60 Min","خدمات الشعر","1","","Active"
"معالج بزيت الأرغان VL","SAR335.00","60 Min","خدمات الشعر","1","","Active"
"معالج الكفيار من كريستاس","SAR715.00","120 Min","خدمات الشعر","1","2","Inactive"
"شنيون للأطفال","SAR275.00","60 Min","خدمات الشعر","1","","Inactive"
"رنساج للشعر الوسط","SAR200.00","60 Min","خدمات الشعر","2","2","Active"
"ناشي فيلر M","SAR325.00","75 Min","خدمات الشعر","2","2","Active"
"ناشي فيلر S","SAR285.00","75 Min","خدمات الشعر","2","2","Active"
"ناشي فيلر VL","SAR445.00","75 Min","خدمات الشعر","2","2","Active"
"بروتوكول تغذوي","SAR535.00","60 Min","خدمات الشعر","2","1","Inactive"
"قَصّة بَكسي","SAR250.00","60 Min","خدمات الشعر","2","1","Active"
"تسريحة رمضان","SAR200.00","60 Min","خدمات الشعر","1","1","Active"
"استرخاء شعر JO Spa كبير","SAR1,190.00","180 Min","خدمات الشعر","2","1","Active"
"استرخاء شعر JO Spa صغير","SAR790.00","180 Min","خدمات الشعر","2","1","Active"
"استرخاء شعر JO Spa كبير جدًا","SAR1,480.00","180 Min","خدمات الشعر","2","1","Active"
"استرخاء شعر JO Spa متوسط","SAR970.00","180 Min","خدمات الشعر","2","1","Active"
"معالج الفروة الجافة","SAR374.91","30 Min","خدمات الشعر","2","5","Inactive"
"معالج الفروة الدهنيه","SAR386.30","30 Min","خدمات الشعر","2","4","Inactive"
"مساج البامبو 60 دقيقة منزلي","SAR870.00","180 Min","خدمات المساج","2","10","Active"
"مساج اعشاب 60 دقيقة منزلي","SAR630.00","60 Min","خدمات المساج","2","10","Inactive"
"اروما مساج 60 دقيقة منزلي","SAR570.00","60 Min","خدمات المساج","2","12","Active"
"مساج بالي 60 دقيقة منزلي","SAR675.00","60 Min","خدمات المساج","2","11","Inactive"
"اروما مساج 90 دقيقة","SAR570.00","90 Min","خدمات المساج","2","12","Active"
"مساج سويدي 60 دقيقة","SAR525.00","60 Min","خدمات المساج","2","11","Active"
"لومي لومي مساج 90 دقيقة","SAR570.00","90 Min","خدمات المساج","2","11","Active"
"مساج احجار ساخنة 90 دقيقة","SAR630.00","90 Min","خدمات المساج","2","11","Active"
"مساج اعشاب 90 دقيقه","SAR630.00","90 Min","خدمات المساج","2","11","Active"
"لومي لومي مساج 60 دقيقة","SAR420.00","60 Min","خدمات المساج","2","11","Active"
"بامبو مساج 90 دقيقة","SAR630.00","90 Min","خدمات المساج","2","11","Active"
"بالي مساج 90 دقيقة","SAR675.00","90 Min","خدمات المساج","2","11","Active"
"بالي مساج 60 دقيقة","SAR525.00","60 Min","خدمات المساج","2","11","Active"
"بامبو مساج 60 دقيقة","SAR480.00","60 Min","خدمات المساج","2","11","Active"
"مساج اعشاب 60 دقيقه","SAR480.00","60 Min","خدمات المساج","2","11","Active"
"مساج احجار ساخنة 60 دقيقة","SAR480.00","60 Min","خدمات المساج","2","11","Active"
"اروما مساج 60 دقيقة","SAR420.00","60 Min","خدمات المساج","2","12","Active"
"مساج سويدي 90 دقيقة","SAR675.00","90 Min","خدمات المساج","2","11","Active"
"مساج الحامل 60 دقيقة","SAR420.00","60 Min","خدمات المساج","2","2","Active"
"معالج تساقط الشعر مع Genisis","SAR420.00","30 Min","خدمات الشعر","2","4","Inactive"
"حمام مغربي بدم الغزال","SAR580.00","60 Min","خدمات الحمام المغربي","2","3","Inactive"
"جو سبا مساج","SAR700.00","60 Min","خدمات المساج","2","11","Active"
"حمام ملكي – الفواكه","SAR750.00","90 Min","خدمات الحمام المغربي","","","Inactive"
"حمام الانزيمات","SAR1,150.00","90 Min","خدمات الحمام المغربي","2","3","Active"
"حمام النيلة الزرقاء","SAR580.00","60 Min","خدمات الحمام المغربي","2","3","Active"
"حمام العروس","SAR1,725.00","90 Min","خدمات الحمام المغربي","2","3","Active"
"حمام ملكي – الشكولاته","SAR750.00","90 Min","خدمات الحمام المغربي","","","Inactive"
"حمام ملكي – الذهب","SAR750.00","90 Min","خدمات الحمام المغربي","2","3","Active"
"حمام مغربي تقليدي","SAR575.00","60 Min","خدمات الحمام المغربي","2","3","Active"
"مساج ظهر وكتف ورقبة","SAR295.00","45 Min","خدمات المساج","2","12","Active"
"رفلكسولوجي","SAR275.00","45 Min","خدمات المساج","2","11","Inactive"
"مساج ليمفاوي","SAR450.00","60 Min","خدمات المساج","2","11","Active"
"مساج المغنيسيوم","SAR950.00","90 Min","خدمات المساج","2","4","Active"
"ديتوكس مساج","SAR850.00","60 Min","خدمات المساج","2","5","Active"
"جل اكستنشن","SAR690.00","120 Min","خدمات العناية بالأظافر","2","3","Active"
"لون جل فرنسي","SAR189.00","45 Min","خدمات العناية بالأظافر > خدمات العناية بالأظافر","2","6","Active"
"لون فرنسي منزلي","SAR195.00","180 Min","خدمات العناية بالأظافر","2","6","Active"
"لون فرنسي","SAR120.00","15 Min","خدمات العناية بالأظافر","2","8","Active"
"كلاسيك منكير وبدكير منزلي","SAR500.00","180 Min","خدمات العناية بالأظافر","2","12","Inactive"
"كلاسيك منكير وبدكير","SAR400.00","75 Min","خدمات العناية بالأظافر","2","13","Inactive"
"منيكر","SAR200.00","45 Min","خدمات العناية بالأظافر","2","13","Active"
"تعبئة بياب اكستنشن","SAR499.00","120 Min","خدمات العناية بالأظافر","2","3","Active"
"اعادة تعبئة بياب","SAR390.00","120 Min","خدمات العناية بالأظافر","2","4","Active"
"ازالة جل اكستنشن منزلي","SAR259.00","180 Min","خدمات العناية بالأظافر","2","3","Inactive"
"ازالة جل اكستنشن","SAR260.00","60 Min","خدمات العناية بالأظافر","2","3","Inactive"
"مكياج ناعم من بكج التخرج","SAR211.00","60 Min","خدمات البشرة","2","","Inactive"
"مكياج للأطفال","SAR250.00","45 Min","خدمات البشرة","2","","Inactive"
"صبغة حواجب","SAR125.00","60 Min","خدمات البشرة","1","2","Inactive"
"مكياج مسائي مع رموش","SAR350.00","60 Min","خدمات البشرة","1","2","Inactive"
"مكياج عروس","SAR500.00","60 Min","خدمات البشرة","1","2","Inactive"
"استشوار ويفي شعر وسط","SAR287.50","45 Min","خدمات الشعر","2","6","Active"
"ويفي للشعر الطويل","SAR345.00","60 Min","خدمات الشعر","2","4","Active"
"ترندي للشعر القصير","SAR568.00","90 Min","خدمات الشعر","1","2","Active"
"ترندي للشعر الوسط","SAR653.00","90 Min","خدمات الشعر","1","2","Active"
"ترندي للشعر الطويل","SAR760.00","90 Min","خدمات الشعر","1","2","Active"
"قرين كافيار للشعر القصير","SAR1,035.00","180 Min","خدمات الشعر","2","2","Active"
"قرين كافيار للشعر الوسط","SAR1,335.00","180 Min","خدمات الشعر","2","2","Active"
"قرين كافيا للشعر طويل جدا","SAR1,980.00","180 Min","خدمات الشعر","2","2","Active"
"قرين كافيار للشعر الطويل","SAR1,670.00","180 Min","خدمات الشعر","2","2","Active"
"جذور القرين كافيار","SAR560.00","120 Min","خدمات الشعر","2","2","Active"
"صبغة جذور اينوا","SAR305.00","60 Min","خدمات الشعر","2","2","Inactive"
"صبغة جذور","SAR250.00","60 Min","خدمات الشعر","2","2","Inactive"
"معالج للفروة الحساسه","SAR419.00","60 Min","خدمات الشعر","2","3","Inactive"
"اومبري للشعر القصير","SAR475.00","120 Min","خدمات الشعر","2","2","Active"
"ناشي فيلر","SAR400.00","75 Min","خدمات الشعر","1","2","Active"
"استشوار للشعر الوسط","SAR150.00","45 Min","خدمات الشعر","2","6","Active"
"استشوار للشعر الطويل","SAR207.00","60 Min","خدمات الشعر","2","6","Active"
"لولايت للشعر الطويل جدا","SAR890.00","285 Min","خدمات الشعر","2","2","Inactive"
"لولايت للشعر القصير","SAR575.00","120 Min","خدمات الشعر","2","2","Inactive"
"لولايت للشعر الوسط","SAR690.00","210 Min","خدمات الشعر","2","2","Inactive"
"لولايت للشعر الطويل","SAR747.50","270 Min","خدمات الشعر","2","2","Inactive"
"رنساج للشعر الطويل","SAR280.00","60 Min","خدمات الشعر","2","3","Active"
"غسيل الشعر","SAR40.00","15 Min","خدمات الشعر","2","5","Active"
"صبغة لون واحد طويل جدا","SAR648.00","90 Min","خدمات الشعر","2","3","Active"
"صبغة لون واحد قصير","SAR460.00","75 Min","خدمات الشعر","2","3","Active"
"صبغة لون واحد وسط","SAR575.00","75 Min","خدمات الشعر","2","3","Active"
"صبغة لون واحد طويل","SAR690.00","75 Min","خدمات الشعر","2","3","Active"
"استشارة صبغة الشعر","SAR119.00","60 Min","خدمات الشعر","2","2","Active"
"معالج للشعر الكيرلي","SAR444.00","60 Min","خدمات الشعر","2","4","Inactive"
"كنتور للشعر القصير","SAR520.00","60 Min","خدمات الشعر","2","3","Active"
"كنتور للشعر الوسط","SAR690.00","60 Min","خدمات الشعر","2","3","Active"
"كنتور للشعر الطويل","SAR770.00","60 Min","خدمات الشعر","2","3","Active"
"صبغة اينوا للشعر الطويل جدا","SAR798.00","120 Min","خدمات الشعر","2","2","Inactive"
"صبغة اينوا للشعر القصير","SAR422.00","60 Min","خدمات الشعر","2","2","Inactive"
"صبغة اينوا للشعر الوسط","SAR558.00","60 Min","خدمات الشعر","1","1","Inactive"
"صبغة اينوا للشعر الطويل","SAR666.00","90 Min","خدمات الشعر","2","2","Inactive"
"معالج للشعر المصبوغ التالف Absolute","SAR358.00","60 Min","خدمات الشعر","1","2","Inactive"
"معالج البلو كافيار للشعر القصير","SAR500.00","180 Min","خدمات الشعر","2","3","Inactive"
"معالج البلو كافيار للشعر الوسط","SAR799.00","180 Min","خدمات الشعر","2","3","Inactive"
"معالح البلو كافيار للشعر الطويل جدا","SAR1,200.00","180 Min","خدمات الشعر","2","3","Active"
"معالج البلو كافيار للشعر الطويل","SAR999.00","180 Min","خدمات الشعر","2","3","Active"
"بلياج شعر طويل جدا","SAR1,290.00","270 Min","خدمات الشعر","1","1","Active"
"بلياج شعر قصير","SAR830.00","120 Min","خدمات الشعر","1","1","Active"
"بلياج شعر متوسط","SAR970.00","150 Min","خدمات الشعر","1","1","Active"
"بلياج شعر طويل","SAR1,120.00","210 Min","خدمات الشعر","1","1","Active"
"معالج الارغان","SAR250.00","60 Min","خدمات الشعر","1","2","Active"
"اعادة تعبئة جل اكستنشن","SAR499.00","90 Min","خدمات العناية بالأظافر","2","3","Active"
"اعادة تعبئة جل اكستنشن منزلي","SAR722.00","180 Min","خدمات العناية بالأظافر","2","3","Inactive"
"اعادة تعبئة جل اكستنشن للظفر الواحد","SAR49.00","30 Min","خدمات العناية بالأظافر","2","3","Active"
"إعادة تعبئة أظافر جل / للظفر الواحد منزلي","SAR85.00","180 Min","خدمات العناية بالأظافر","2","2","Inactive"
"جل اومبري","SAR200.00","30 Min","خدمات العناية بالأظافر","2","5","Active"
"جو سبا شيلاك","SAR299.00","30 Min","خدمات العناية بالأظافر","2","12","Active"
"منكير اطفال","SAR60.00","30 Min","خدمات العناية بالأظافر","2","13","Inactive"
"منكير منزلي","SAR294.00","180 Min","خدمات العناية بالأظافر","2","11","Inactive"
"منكير وبدكير اطفال","SAR120.00","30 Min","خدمات العناية بالأظافر","2","13","Inactive"
"منكير وبدكير اطفال  منزلي","SAR187.00","180 Min","خدمات العناية بالأظافر","2","","Inactive"
"اكسسوار اظافر كبير","SAR35.00","30 Min","خدمات العناية بالأظافر","2","3","Inactive"
"إكسسوارات الأظافر الكبيرة منزلي","SAR61.00","180 Min","خدمات العناية بالأظافر","2","2","Inactive"
"اكسسوار اظافر صغير","SAR25.00","30 Min","خدمات العناية بالأظافر","2","2","Active"
"إكسسوارات الأظافر الصغيرة منزلي","SAR44.00","180 Min","خدمات العناية بالأظافر","2","2","Inactive"
"تركيب اظافر","SAR200.00","60 Min","خدمات العناية بالأظافر","2","6","Active"
"صبغ اظافر","SAR40.00","15 Min","خدمات العناية بالأظافر","2","13","Active"
"صبغ اومبري","SAR120.00","45 Min","خدمات العناية بالأظافر","2","3","Active"
"بدكير","SAR220.00","30 Min","خدمات العناية بالأظافر","2","13","Active"
"بدكير للاطفال","SAR60.00","30 Min","خدمات العناية بالأظافر","2","13","Inactive"
"بدكير للاطفال منزلي","SAR104.00","180 Min","خدمات العناية بالأظافر","2","","Inactive"
"بدكير منزلي","SAR327.00","180 Min","خدمات العناية بالأظافر","2","11","Inactive"
"ازالة بياب اكستنشن","SAR190.00","60 Min","خدمات العناية بالأظافر","2","3","Active"
"ازالة شيلاك","SAR100.00","30 Min","خدمات العناية بالأظافر","2","12","Active"
"ازالة شيلاك منزلي","SAR173.00","180 Min","خدمات العناية بالأظافر","2","9","Active"
"سوفت جل","SAR490.00","60 Min","خدمات العناية بالأظافر","2","3","Active"
"سبا منكير","SAR240.00","45 Min","خدمات العناية بالأظافر","2","12","Active"
"سبا منكير منزلي","SAR342.00","180 Min","خدمات العناية بالأظافر","2","11","Active"
"سبا منكير وبدكير","SAR490.00","90 Min","خدمات العناية بالأظافر","2","13","Active"
"سبا منكير وبدكير  منزلي","SAR590.00","180 Min","خدمات العناية بالأظافر","2","12","Active"
"سبا بدكير","SAR260.00","45 Min","خدمات العناية بالأظافر","2","12","Active"
"سبا بدكير  منزلي","SAR342.00","180 Min","خدمات العناية بالأظافر","2","11","Active"
"قص شعرة الغرة","SAR50.00","30 Min","خدمات الشعر","2","2","Active"
"معالج فوزيو دوز","SAR170.00","30 Min","خدمات الشعر","2","4","Inactive"
"قص شعر للأطفال","SAR120.00","30 Min","خدمات الشعر","2","1","Active"
"قص شعر ستايل","SAR173.00","30 Min","خدمات الشعر","2","2","Active"
"قص اطراف الشعر","SAR115.00","30 Min","خدمات الشعر","2","3","Active"
"معالج لوريال","SAR295.00","30 Min","خدمات الشعر","2","4","Inactive"
"استشوار للشعر القصير","SAR115.00","30 Min","خدمات الشعر","2","5","Active"
"رنساج للشعر القصير","SAR150.00","30 Min","خدمات الشعر","2","2","Active"
"استشوار ويفي للشعر القصير","SAR172.50","30 Min","خدمات الشعر","2","5","Active"
"مكياج عيون مع رموش","SAR250.00","30 Min","خدمات البشرة","1","2","Inactive"
"رموش مع ايلاينر","SAR150.00","30 Min","خدمات البشرة","2","","Inactive"
"بياب","SAR390.00","90 Min","خدمات العناية بالأظافر","2","4","Active"
"لون جل مغناطيس","SAR149.00","30 Min","خدمات العناية بالأظافر","2","4","Active"
"صبغ كروم","SAR150.00","30 Min","خدمات العناية بالأظافر","2","5","Active"
"منكير سريع","SAR99.00","30 Min","خدمات العناية بالأظافر","2","11","Inactive"
